Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Quantity
2022,JUN,STATE,17,5,TOTAL,"14,30,00,000"
2022,JUN,STATE,18,5,TOTAL,"37,00,00,000"
2022,JUN,STATE,19,5,TOTAL,"48,00,00,000"
2022,JUN,STATE,20,5,TOTAL,"34,30,00,000"
2022,JUN,STATE,26,5,TOTAL,"97,40,00,000"
2022,JUN,STATE,27,5,TOTAL,"87,10,00,000"
2022,JUN,STATE,35,5,TOTAL,"59,20,00,000"
2022,JUN,STATE,36,5,TOTAL,"1,31,10,00,000"
2022,JUN,STATE,39,5,TOTAL,"45,80,00,000"
2022,JUN,STATE,41,5,TOTAL,"22,30,00,000"
2022,JUN,STATE,42,5,TOTAL,"83,40,00,000"
2022,JUN,STATE,46,5,TOTAL,"34,70,00,000"
2022,JUN,STATE,48,5,TOTAL,"1,37,10,00,000"
2022,JUN,STATE,49,5,TOTAL,"18,60,00,000"
2022,JUN,STATE,50,5,TOTAL,"21,20,00,000"
2022,JUN,STATE,51,5,TOTAL,"11,60,00,000"
2022,JUN,STATE,53,5,TOTAL,"52,50,00,000"
2022,JUN,STATE,55,5,TOTAL,"2,67,10,00,000"
2022,MAR,STATE,4,5,TOTAL,"45,20,00,000"
2022,MAR,STATE,6,5,TOTAL,"3,71,70,00,000"
2022,MAR,STATE,8,5,TOTAL,"45,30,00,000"
2022,MAR,STATE,12,5,TOTAL,"18,30,00,000"
2022,MAR,STATE,13,5,TOTAL,"18,30,00,000"
2022,MAR,STATE,16,5,TOTAL,"1,39,70,00,000"
2022,MAR,STATE,17,5,TOTAL,"15,50,00,000"
2022,MAR,STATE,18,5,TOTAL,"38,60,00,000"
2022,MAR,STATE,19,5,TOTAL,"48,70,00,000"
2022,MAR,STATE,20,5,TOTAL,"35,20,00,000"
2022,MAR,STATE,26,5,TOTAL,"1,00,60,00,000"
2022,MAR,STATE,27,5,TOTAL,"89,50,00,000"
2022,MAR,STATE,35,5,TOTAL,"65,30,00,000"
2022,MAR,STATE,36,5,TOTAL,"1,33,30,00,000"
2022,MAR,STATE,39,5,TOTAL,"48,00,00,000"
2022,MAR,STATE,41,5,TOTAL,"23,20,00,000"
2022,MAR,STATE,42,5,TOTAL,"87,30,00,000"
2022,MAR,STATE,46,5,TOTAL,"34,40,00,000"
2022,MAR,STATE,48,5,TOTAL,"1,43,70,00,000"
2022,MAR,STATE,49,5,TOTAL,"18,50,00,000"
2022,MAR,STATE,50,5,TOTAL,"22,10,00,000"
2022,MAR,STATE,51,5,TOTAL,"12,80,00,000"
2022,MAR,STATE,53,5,TOTAL,"55,10,00,000"
2022,MAR,STATE,55,5,TOTAL,"2,72,40,00,000"
2022,MAY,STATE,4,5,TOTAL,"43,30,00,000"
2022,MAY,STATE,6,5,TOTAL,"3,66,80,00,000"
2022,MAY,STATE,8,5,TOTAL,"46,00,00,000"
2022,MAY,STATE,12,5,TOTAL,"18,00,00,000"
2022,MAY,STATE,13,5,TOTAL,"17,70,00,000"
2022,MAY,STATE,16,5,TOTAL,"1,43,70,00,000"
2022,MAY,STATE,17,5,TOTAL,"15,30,00,000"
2022,MAY,STATE,18,5,TOTAL,"38,50,00,000"
2022,MAY,STATE,19,5,TOTAL,"49,70,00,000"
2022,MAY,STATE,20,5,TOTAL,"36,00,00,000"
2022,MAY,STATE,26,5,TOTAL,"1,01,60,00,000"
2022,MAY,STATE,27,5,TOTAL,"89,50,00,000"
2022,MAY,STATE,35,5,TOTAL,"63,20,00,000"
2022,MAY,STATE,36,5,TOTAL,"1,36,40,00,000"
2022,MAY,STATE,39,5,TOTAL,"48,20,00,000"
2022,MAY,STATE,41,5,TOTAL,"23,30,00,000"
2022,MAY,STATE,42,5,TOTAL,"88,30,00,000"
2022,MAY,STATE,46,5,TOTAL,"35,30,00,000"
2022,MAY,STATE,48,5,TOTAL,"1,43,30,00,000"
2022,MAY,STATE,49,5,TOTAL,"19,10,00,000"
2022,MAY,STATE,50,5,TOTAL,"22,20,00,000"
2022,MAY,STATE,51,5,TOTAL,"12,70,00,000"
2022,MAY,STATE,53,5,TOTAL,"54,00,00,000"
2022,MAY,STATE,55,5,TOTAL,"2,75,00,00,000"
2022,NOV,STATE,4,5,TOTAL,"38,30,00,000"
2022,NOV,STATE,6,5,TOTAL,"3,32,70,00,000"
2022,NOV,STATE,8,5,TOTAL,"42,70,00,000"
2022,NOV,STATE,12,5,TOTAL,"14,50,00,000"
2022,NOV,STATE,13,5,TOTAL,"16,20,00,000"
2022,NOV,STATE,16,5,TOTAL,"1,32,20,00,000"
2022,NOV,STATE,17,5,TOTAL,"13,50,00,000"
2022,NOV,STATE,18,5,TOTAL,"35,70,00,000"
2022,NOV,STATE,19,5,TOTAL,"47,80,00,000"
2022,NOV,STATE,20,5,TOTAL,"34,10,00,000"
2022,NOV,STATE,26,5,TOTAL,"95,70,00,000"
2022,NOV,STATE,27,5,TOTAL,"84,90,00,000"
2022,NOV,STATE,35,5,TOTAL,"55,30,00,000"
2022,NOV,STATE,36,5,TOTAL,"1,27,80,00,000"
2022,NOV,STATE,39,5,TOTAL,"44,80,00,000"
2022,NOV,STATE,41,5,TOTAL,"20,50,00,000"
2022,NOV,STATE,42,5,TOTAL,"79,40,00,000"
2022,NOV,STATE,46,5,TOTAL,"34,40,00,000"
2022,NOV,STATE,48,5,TOTAL,"1,34,80,00,000"
2022,NOV,STATE,49,5,TOTAL,"17,00,00,000"
2022,NOV,STATE,50,5,TOTAL,"20,70,00,000"
2022,NOV,STATE,51,5,TOTAL,"11,30,00,000"
2022,NOV,STATE,53,5,TOTAL,"49,00,00,000"
2022,NOV,STATE,55,5,TOTAL,"2,58,00,00,000"
2022,OCT,STATE,4,5,TOTAL,"37,70,00,000"
2022,OCT,STATE,6,5,TOTAL,"3,40,50,00,000"
2022,OCT,STATE,8,5,TOTAL,"44,50,00,000"
2022,OCT,STATE,12,5,TOTAL,"14,60,00,000"
2022,OCT,STATE,13,5,TOTAL,"16,70,00,000"
2022,OCT,STATE,16,5,TOTAL,"1,40,30,00,000"
2022,OCT,STATE,17,5,TOTAL,"13,70,00,000"
2022,OCT,STATE,18,5,TOTAL,"36,80,00,000"
2022,OCT,STATE,19,5,TOTAL,"49,40,00,000"
2022,OCT,STATE,20,5,TOTAL,"35,30,00,000"
2022,OCT,STATE,26,5,TOTAL,"98,40,00,000"
2022,OCT,STATE,27,5,TOTAL,"87,90,00,000"
2022,OCT,STATE,35,5,TOTAL,"57,70,00,000"
2022,OCT,STATE,36,5,TOTAL,"1,32,00,00,000"
2022,OCT,STATE,39,5,TOTAL,"45,80,00,000"
2022,OCT,STATE,41,5,TOTAL,"21,80,00,000"
2022,OCT,STATE,42,5,TOTAL,"81,00,00,000"
2022,OCT,STATE,46,5,TOTAL,"36,20,00,000"
2022,OCT,STATE,48,5,TOTAL,"1,40,80,00,000"
2022,OCT,STATE,49,5,TOTAL,"17,80,00,000"
2022,OCT,STATE,50,5,TOTAL,"21,20,00,000"
2022,OCT,STATE,51,5,TOTAL,"11,50,00,000"
2022,OCT,STATE,53,5,TOTAL,"52,00,00,000"
2022,OCT,STATE,55,5,TOTAL,"2,66,90,00,000"
2022,SEP,STATE,4,5,TOTAL,"34,90,00,000"
2022,SEP,STATE,6,5,TOTAL,"3,27,40,00,000"
2022,SEP,STATE,8,5,TOTAL,"43,90,00,000"
2022,SEP,STATE,12,5,TOTAL,"13,30,00,000"
2022,SEP,STATE,13,5,TOTAL,"15,60,00,000"
2022,SEP,STATE,16,5,TOTAL,"1,38,90,00,000"
2022,SEP,STATE,17,5,TOTAL,"13,20,00,000"
2022,SEP,STATE,18,5,TOTAL,"35,30,00,000"
2022,SEP,STATE,19,5,TOTAL,"47,60,00,000"
2022,SEP,STATE,20,5,TOTAL,"34,20,00,000"
2022,SEP,STATE,26,5,TOTAL,"95,70,00,000"
2022,SEP,STATE,27,5,TOTAL,"85,80,00,000"
2022,SEP,STATE,35,5,TOTAL,"55,90,00,000"
2022,SEP,STATE,36,5,TOTAL,"1,28,40,00,000"
2022,SEP,STATE,39,5,TOTAL,"44,30,00,000"
2022,SEP,STATE,41,5,TOTAL,"21,40,00,000"
2022,SEP,STATE,42,5,TOTAL,"78,60,00,000"
2022,SEP,STATE,46,5,TOTAL,"35,50,00,000"
2022,SEP,STATE,48,5,TOTAL,"1,34,30,00,000"
2022,SEP,STATE,49,5,TOTAL,"17,50,00,000"
2022,SEP,STATE,50,5,TOTAL,"20,70,00,000"
2022,SEP,STATE,51,5,TOTAL,"11,10,00,000"
2022,SEP,STATE,53,5,TOTAL,"51,70,00,000"
2022,SEP,STATE,55,5,TOTAL,"2,61,80,00,000"
2022,YEAR,STATE,1,5,TOTAL,"3,20,00,000"
2022,YEAR,STATE,4,5,TOTAL,"4,77,20,00,000"
2022,YEAR,STATE,5,5,TOTAL,"4,50,00,000"
2022,YEAR,STATE,6,5,TOTAL,"41,78,70,00,000"
2022,YEAR,STATE,8,5,TOTAL,"5,31,40,00,000"
2022,YEAR,STATE,9,5,TOTAL,"43,00,00,000"
2022,YEAR,STATE,10,5,TOTAL,"4,81,00,000"
2022,YEAR,STATE,12,5,TOTAL,"1,93,30,00,000"
2022,YEAR,STATE,13,5,TOTAL,"2,02,80,00,000"
2022,YEAR,STATE,16,5,TOTAL,"16,62,80,00,000"
2022,YEAR,STATE,17,5,TOTAL,"1,71,40,00,000"
2022,YEAR,STATE,18,5,TOTAL,"4,41,30,00,000"
2022,YEAR,STATE,19,5,TOTAL,"5,77,00,00,000"
2022,YEAR,STATE,20,5,TOTAL,"4,14,30,00,000"
2022,YEAR,STATE,21,5,TOTAL,"92,60,00,000"
2022,YEAR,STATE,22,5,TOTAL,"11,20,00,000"
2022,YEAR,STATE,23,5,TOTAL,"55,40,00,000"
2022,YEAR,STATE,24,5,TOTAL,"84,20,00,000"
2022,YEAR,STATE,25,5,TOTAL,"18,80,00,000"
2022,YEAR,STATE,26,5,TOTAL,"11,74,00,00,000"
2022,YEAR,STATE,27,5,TOTAL,"10,47,70,00,000"
2022,YEAR,STATE,28,5,TOTAL,"9,00,00,000"
2022,YEAR,STATE,29,5,TOTAL,"94,10,00,000"
2022,YEAR,STATE,30,5,TOTAL,"22,30,00,000"
2022,YEAR,STATE,31,5,TOTAL,"1,41,60,00,000"
2022,YEAR,STATE,32,5,TOTAL,"79,40,00,000"
2022,YEAR,STATE,33,5,TOTAL,"21,90,00,000"
2022,YEAR,STATE,34,5,TOTAL,"8,70,00,000"
2022,YEAR,STATE,35,5,TOTAL,"7,14,80,00,000"
2022,YEAR,STATE,36,5,TOTAL,"15,66,00,00,000"
2022,YEAR,STATE,37,5,TOTAL,"91,20,00,000"
2022,YEAR,STATE,38,5,TOTAL,"31,90,00,000"
