track_id,track_name,artist_name,artist_count,realeased_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts
216,S-Class,Stray Kids,1,02-06-2023,290,19,65496046,9,101
217,Hits Different,Taylor Swift,1,26-05-2023,547,0,68616963,15,15
218,Chanel,"Becky G, Peso Pluma",2,30-03-2023,681,10,161460990,15,92
219,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,02-06-2023,332,5,70106975,18,41
220,Area Codes,"Kaliii, Kaliii",2,17-03-2023,1197,13,113509496,44,34
221,Abcdario,"Junior H, Eden Mu  ",2,13-05-2023,262,5,89933133,8,60
222,Obsessed,"Abhijay Sharma, Riar Saab",2,29-09-2022,161,6,71007139,10,79
223,Pi  man De ,"Semicenk, Do  u ",2,02-06-2023,185,3,43522589,5,6
224,FLOWER,JISOO,1,31-03-2023,839,18,232896922,20,110
225,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,02-06-2023,259,0,37126685,5,17
226,Eyes Closed,Ed Sheeran,1,23-03-2023,2915,30,195576623,116,69
227,Escapism.,"RAYE, 070 Shake",2,12-10-2022,5129,25,532336353,116,84
228,La Jumpa,"Arcangel, Bad Bunny",2,30-11-2022,3794,34,538115192,47,77
229,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,26-05-2023,588,0,46142772,23,21
230,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,02-12-2022,2959,16,401036314,41,69
231,Las Morras,"BLESSD, Peso Pluma",2,04-04-2023,291,8,127026613,8,78
232,CHORRITO PA LAS ANIMAS,Feid,1,02-12-2022,2321,36,345031710,29,65
233,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,01-12-2022,536,10,288101651,10,72
234,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,26-05-2023,359,2,60350538,1,0
235,Players,Coi Leray,1,30-11-2022,4096,6,335074782,118,48
236,Bite Me,ENHYPEN,1,22-05-2023,349,69,76767396,8,96
237,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,26-05-2023,381,5,46065667,23,82
238,Normal,Feid,1,08-07-2022,2461,36,459276435,47,66
239,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,02-06-2023,277,1,39666245,1,20
240,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,01-03-2023,967,5,138517666,7,29
241,Bad Habit,Steve Lacy,1,29-06-2022,8186,12,822633917,155,72
242,CUFF IT,Beyonc ,1,29-07-2022,7842,10,595900742,215,88
243,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,05-06-2023,215,6,51985779,6,14
244,69,"Nicky Jam, Feid",2,18-05-2023,1134,22,57945987,39,14
245,Ni  a Bo,"Sean Paul, Feid",2,21-04-2023,1305,34,115010040,29,26
246,Search & Rescue,Drake,1,07-04-2023,2066,6,175097833,58,70
247,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc ",2,19-05-2023,896,0,57089066,34,2
248,Lavender Haze,Taylor Swift,1,21-10-2022,3763,8,488386797,51,43
249,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,02-06-2023,197,0,32761689,3,10
250,Efecto,Bad Bunny,1,06-05-2022,4004,33,1047480053,34,65
251,Erro Gostoso - Ao Vivo,Simone Mendes,1,27-01-2023,984,5,153454328,8,57
252,Cupido,Tini,1,14-02-2023,1240,24,217672943,51,29
253,Just Wanna Rock,Lil Uzi Vert,1,17-10-2022,3995,13,457184829,72,27
254,Unstoppable,Sia,1,21-01-2016,7681,13,939844851,119,66
255,Until I Found You,Stephen Sanchez,1,01-09-2021,4427,4,726434358,69,100
256,Rich Flex,"Drake, 21 Savage",2,04-11-2022,4657,18,573633020,84,84
257,Easy On Me,Adele,1,14-10-2021,10195,20,1406111294,258,87
258,Cart  o B,"MC Caverinha, KayBlack",2,11-05-2023,269,4,71573339,7,2
259,Danger (Spider) (Offset & JID),"Offset, JID",2,02-06-2023,214,0,24975653,3,3
260,Oi Balde - Ao Vivo,Z   Neto & Crist,1,14-02-2023,845,2,145458418,12,57
261,The Real Slim Shady,Eminem,1,01-01-2000,20763,27,1424589568,81,53
262,MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,16-12-2022,1267,20,231332117,41,22
263,The Color Violet,Tory Lanez,1,10-12-2021,2585,32,415932686,3,79
264,Glimpse of Us,Joji,1,10-06-2022,6330,6,988515741,109,42
265,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,04-05-2023,675,1,50847624,9,13
266,Curtains,Ed Sheeran,1,05-05-2023,715,0,39893489,37,3
267,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,01-05-2023,327,13,92035115,14,110
268,Haegeum,Agust D,1,21-04-2023,244,12,118810253,6,84
269,Conex  es de M  fia (feat. Rich ,"Rich The Kid, Matu ",2,30-04-2023,385,4,77233241,17,7
270,MIENTRAS ME CURO DEL CORA,Karol G,1,24-02-2023,1020,35,206399629,15,26
271,Never Felt So Alone,Labrinth,1,07-04-2023,1730,3,117747907,46,5
272,X SI VOLVEMOS,"Karol G, Romeo Santos",2,02-02-2023,2127,33,266624541,45,80
273,ceilings,Lizzy McAlpine,1,08-04-2022,3242,9,293186992,67,55
274,Cupid,Fifty Fifty,1,24-02-2023,526,10,139681964,15,93
275,I AM,IVE,1,10-04-2023,366,15,123132751,16,102
276,Cupid     Twin Ver. (FIFTY FIFTY)     Spe,sped up 8282,1,01-01-1997,472,2,103762518,0,0
277,Shorty Party,"Cartel De Santa, La Kelly",2,04-03-2023,432,12,162887075,8,14
278,Super,SEVENTEEN,1,24-04-2023,271,12,91221625,16,103
279,Slut Me Out,NLE Choppa,1,22-04-2022,816,4,190490915,21,4
280,Double Fantasy (with Future),"The Weeknd, Future",2,21-04-2023,1169,0,96180277,36,65
281,All Of The Girls You Loved Before,Taylor Swift,1,23-08-2019,1282,6,185240616,26,6
282,PROVENZA,Karol G,1,21-04-2022,6587,34,885093467,114,104
283,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,14-04-2023,1444,4,104992946,0,0
284,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,03-02-2023,356,10,147290338,4,64
285,Shivers,Ed Sheeran,1,09-09-2021,10147,30,1302184087,234,71
286,Igualito a Mi Ap ,"Fuerza Regida, Peso Pluma",2,30-12-2022,265,6,158950978,8,84
287,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,25-04-2023,351,9,76910644,16,90
288,Komang,Raim Laode,1,16-08-2022,158,4,137123880,5,6
289,DESPECH ,ROSAL ,1,28-07-2022,7613,33,782369383,180,90
290,Made You Look,Meghan Trainor,1,21-10-2022,3956,6,502574952,142,23
291,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,05-02-2023,1638,10,207033255,0,0
292,No Se Va,Grupo Frontera,1,28-04-2022,924,18,404887295,17,80
293,Punto G,Quevedo,1,04-11-2022,1985,35,381161027,34,26
294,Lovers Rock,TV Girl,1,05-06-2014,6339,13,466231982,3,1
295,METAMORPHOSIS,INTERWORLD,1,25-11-2021,1561,24,357580552,18,78
296,Mami Chula,"Quevedo, Jhayco",2,27-04-2023,875,4,61105704,17,13
297,En Paris,"El Chachito, Junior H",2,24-12-2022,406,5,198275403,3,31
298,Set Me Free Pt.2,Jimin,1,17-03-2023,340,13,168448603,4,71
299,I Was Never There,"The Weeknd, Gesaffelstein",2,29-03-2018,4188,15,705469769,30,70
300,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,04-05-2023,105,0,34502215,5,9
301,Shut Down,BLACKPINK,1,16-09-2022,1524,17,482175240,53,120
302,Gato de Noche,"Nengo Flow, Bad Bunny",2,22-12-2022,2651,30,304118600,21,55
303,Call Out My Name,The Weeknd,1,29-03-2018,11087,6,1449799467,151,107
304,Like Crazy (English Version),Jimin,1,24-03-2023,373,19,173627354,4,72
305,Rosa Pastel,"Jasiel Nu  ez, Peso P",2,02-02-2023,200,4,90025258,8,77
306,Sunroof,"Nicky Youre, Dazy",2,03-12-2021,3741,17,652704649,156,35
307,Lose Yourself - Soundtrack Version,Eminem,1,01-01-2002,32502,21,1829992958,247,54
308,Superman,"Eminem, Dina Rae",2,26-05-2002,7615,14,655466831,18,51
309,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,02-03-2023,1208,34,146409671,10,41
