Years,Geo_Level,State_ANSI,Commodity_ID,Quantity
2006,STATE,56,2,3315000
2005,STATE,1,2,858000
2005,STATE,4,2,1800000
2005,STATE,5,2,2484000
2005,STATE,6,2,30000000
2005,STATE,8,2,1960000
2005,STATE,12,2,13760000
2005,STATE,13,2,2891000
2005,STATE,15,2,1179000
2005,STATE,16,2,3515000
2005,STATE,17,2,680000
2005,STATE,18,2,512000
2005,STATE,19,2,2464000
2005,STATE,20,2,800000
2005,STATE,21,2,250000
2005,STATE,22,2,3395000
2005,STATE,23,2,208000
2005,STATE,26,2,4420000
2005,STATE,27,2,8880000
2005,STATE,28,2,1280000
2005,STATE,29,2,750000
2005,STATE,30,2,8710000
2005,STATE,31,2,2720000
2005,STATE,32,2,552000
2005,STATE,34,2,384000
2005,STATE,35,2,343000
2005,STATE,36,2,4307000
2005,STATE,37,2,540000
2005,STATE,38,2,33670000
2005,STATE,39,2,1035000
2005,STATE,41,2,1638000
2005,STATE,,2,645000
2005,STATE,42,2,1568000
2005,STATE,46,2,17380000
2005,STATE,47,2,385000
2005,STATE,48,2,5964000
2005,STATE,49,2,1080000
2005,STATE,50,2,546000
2005,STATE,51,2,296000
2005,STATE,53,2,2805000
2005,STATE,54,2,408000
2005,STATE,55,2,5312000
2005,STATE,56,2,2240000
2004,STATE,1,2,1044000
2004,STATE,4,2,1760000
2004,STATE,5,2,2280000
2004,STATE,6,2,17550000
2004,STATE,8,2,1840000
2004,STATE,12,2,20090000
2004,STATE,13,2,3087000
2004,STATE,15,2,768000
2004,STATE,16,2,6300000
2004,STATE,17,2,385000
2004,STATE,18,2,413000
2004,STATE,19,2,2345000
2004,STATE,20,2,1120000
2004,STATE,21,2,280000
2004,STATE,22,2,3430000
2004,STATE,23,2,217000
2004,STATE,26,2,4355000
2004,STATE,27,2,10125000
2004,STATE,28,2,1170000
2004,STATE,29,2,656000
2004,STATE,30,2,10780000
2004,STATE,31,2,4539000
2004,STATE,32,2,770000
2004,STATE,34,2,324000
2004,STATE,35,2,352000
2004,STATE,36,2,4288000
2004,STATE,37,2,360000
2004,STATE,38,2,30420000
2004,STATE,39,2,928000
2004,STATE,41,2,2268000
2004,STATE,,2,765000
2004,STATE,42,2,1620000
2004,STATE,46,2,22575000
2004,STATE,47,2,324000
2004,STATE,48,2,8816000
2004,STATE,49,2,1680000
2004,STATE,50,2,408000
2004,STATE,51,2,266000
2004,STATE,53,2,3528000
2004,STATE,54,2,495000
2004,STATE,55,2,5848000
2004,STATE,56,2,2925000
2003,STATE,1,2,1066000
2003,STATE,4,2,2520000
2003,STATE,5,2,3000000
2003,STATE,6,2,32160000
2003,STATE,8,2,2064000
2003,STATE,12,2,14910000
2003,STATE,13,2,3380000
2003,STATE,15,2,798000
2003,STATE,16,2,4600000
2003,STATE,17,2,420000
2003,STATE,18,2,280000
2003,STATE,19,2,1888000
2003,STATE,20,2,912000
2003,STATE,21,2,240000
2003,STATE,22,2,3060000
2003,STATE,23,2,264000
2003,STATE,24,2,84000
2003,STATE,26,2,4810000
2003,STATE,27,2,9960000
2003,STATE,28,2,1449000
2003,STATE,29,2,901000
2003,STATE,30,2,9570000
2003,STATE,31,2,3330000
2003,STATE,32,2,384000
2003,STATE,34,2,190000
2003,STATE,35,2,246000
2003,STATE,36,2,4824000
2003,STATE,37,2,440000
2003,STATE,38,2,29580000
2003,STATE,39,2,750000
2003,STATE,40,2,141000
2003,STATE,41,2,2142000
2003,STATE,,2,352000
2003,STATE,42,2,1350000
2003,STATE,45,2,280000
2003,STATE,46,2,15050000
2003,STATE,47,2,240000
2003,STATE,48,2,9380000
2003,STATE,49,2,1425000
2003,STATE,50,2,581000
2003,STATE,51,2,222000
2003,STATE,53,2,3248000
2003,STATE,54,2,376000
2003,STATE,55,2,5698000
2003,STATE,56,2,3159000
2002,STATE,1,2,1032000
2002,STATE,4,2,2394000
2002,STATE,5,2,3960000
2002,STATE,6,2,23500000
2002,STATE,8,2,1440000
2002,STATE,12,2,20460000
2002,STATE,13,2,2600000
2002,STATE,15,2,952000
2002,STATE,16,2,5700000
2002,STATE,17,2,720000
2002,STATE,18,2,496000
2002,STATE,19,2,2310000
2002,STATE,20,2,884000
2002,STATE,21,2,270000
2002,STATE,22,2,4340000
2002,STATE,23,2,451000
2002,STATE,24,2,138000
2002,STATE,26,2,5544000
2002,STATE,27,2,8541000
2002,STATE,28,2,1404000
2002,STATE,29,2,900000
2002,STATE,30,2,8442000
2002,STATE,31,2,3225000
2002,STATE,32,2,558000
2002,STATE,34,2,440000
2002,STATE,35,2,484000
2002,STATE,36,2,5880000
2002,STATE,37,2,672000
2002,STATE,38,2,24000000
2002,STATE,39,2,1260000
2002,STATE,40,2,159000
2002,STATE,41,2,2107000
2002,STATE,,2,453000
2002,STATE,42,2,1653000
2002,STATE,45,2,470000
2002,STATE,46,2,11475000
2002,STATE,47,2,488000
2002,STATE,48,2,7638000
2002,STATE,49,2,1298000
2002,STATE,50,2,623000
2002,STATE,51,2,304000
2002,STATE,53,2,2550000
2002,STATE,54,2,459000
2002,STATE,55,2,6650000
2002,STATE,56,2,2394000
2001,STATE,1,2,1022000
2001,STATE,4,2,2537000
2001,STATE,5,2,4900000
2001,STATE,6,2,28060000
2001,STATE,8,2,1430000
2001,STATE,12,2,22000000
2001,STATE,13,2,3135000
2001,STATE,15,2,696000
2001,STATE,16,2,4600000
2001,STATE,17,2,456000
2001,STATE,18,2,532000
2001,STATE,19,2,1683000
2001,STATE,20,2,663000
2001,STATE,21,2,312000
2001,STATE,22,2,4770000
2001,STATE,23,2,220000
2001,STATE,24,2,184000
2001,STATE,26,2,4560000
2001,STATE,27,2,10935000
2001,STATE,28,2,1122000
2001,STATE,29,2,1342000
2001,STATE,30,2,13872000
2001,STATE,31,2,2064000
2001,STATE,32,2,450000
2001,STATE,34,2,374000
2001,STATE,35,2,700000
2001,STATE,36,2,3710000
2001,STATE,37,2,572000
2001,STATE,38,2,26880000
2001,STATE,39,2,1458000
2001,STATE,40,2,188000
2001,STATE,41,2,1936000
2001,STATE,,2,303000
2001,STATE,42,2,1482000
2001,STATE,45,2,280000
2001,STATE,46,2,15275000
2001,STATE,47,2,472000
2001,STATE,48,2,7663000
2001,STATE,49,2,874000
2001,STATE,50,2,567000
2001,STATE,51,2,468000
